Gene,logFC,logCPM,LR,pvalue,padj
WBGene00002212,-0.93464655605419,3.62127624149489,32.4862354762203,1.20039729927284e-8,4.13470606208333e-7
WBGene00022090,-0.934531795049231,6.71298299781771,40.5425450856352,1.9238113590758e-10,1.0704133324126e-8
WBGene00007222,-0.934503461816869,4.48391141622215,37.0159777820791,1.1716520135669402e-9,5.30148328452809e-8
WBGene00007863,-0.934286270645702,2.63422145450391,27.3911727598053,1.66188103801938e-7,4.23593979662761e-6
WBGene00011081,-0.934197768152655,4.71236164970743,4.40793628574496,0.0357720921016918,0.147213021840621
WBGene00003031,-0.93381381788443,1.46288961691093,11.7887809586652,5.9588742812564e-4,0.00544695729885187
WBGene00000754,-0.933746466572887,10.255795434907,6.88261272939457,0.00870382388939259,0.0493817987506989
WBGene00004020,-0.933264155232417,6.22293720698271,57.9803750752405,2.64745831138047e-14,3.01975713641835e-12
WBGene00010981,0.932760565210873,0.00460080769499963,12.6499887565802,3.7556793613127e-4,0.00366224494731608
WBGene00023423,0.932556252424002,0.635315567003818,6.00047352170329,0.0143020393223432,0.0727053531010485
WBGene00017179,-0.93244331513686,4.34605537333908,39.8007720981791,2.81233906386206e-10,1.48338693397349e-8
WBGene00001684,0.932385646245379,8.69004170605542,43.8580110886905,3.5308297523631996e-11,2.2904375467048e-9
WBGene00019906,0.932336828433796,2.69580111977666,3.86839771322414,0.0492034734344968,0.183515765701439
WBGene00004901,-0.931780845975323,4.35798611288894,38.729191417727,4.8687297209881e-10,2.40146803805494e-8
WBGene00015864,0.931777153504275,-1.30043794617781,3.38195613220828,0.0659137811425304,0.227539692153439
WBGene00020120,-0.931586226776136,2.44343749435842,26.0115571573582,3.39379641294287e-7,8.01597729113986e-6
WBGene00017736,-0.931179883650423,3.87824877688456,35.623001385658696,2.39443523272174e-9,9.96165113917288e-8
WBGene00016069,0.931151134651329,0.408738088798031,7.58020822496147,0.00590126230484338,0.0364090727056767
WBGene00020282,-0.931014417103081,3.65720092189461,37.5782351347784,8.78189409314088e-10,4.08156792529256e-8
WBGene00005688,-0.930938905065614,-1.95600347589525,3.38778155967191,0.0656812654357412,0.226908712935817
WBGene00077568,-0.93093832614741,-1.08491863984694,8.88413088257031,0.00287659945865465,0.0201863394464679
WBGene00011305,0.930902006807817,2.40097242093858,13.2645705509512,2.7046941060823e-4,0.00277723185123793
WBGene00044489,-0.930852534514781,0.779274512816701,5.16717004018416,0.0230176839240718,0.104461057264832
WBGene00001155,-0.930807087211225,9.37014624115761,37.8403676622548,7.67765294397694e-10,3.62997839967821e-8
WBGene00010544,-0.92997443199184,2.5114091037785,25.0292083450624,5.64683841593929e-7,1.24262219964902e-5
WBGene00008333,-0.929897577568367,4.08480317566362,33.1939558627791,8.340939116277881e-9,3.0113170380216e-7
WBGene00003547,0.92971389723218,2.04807189202088,5.46380087468777,0.0194143716190933,0.0919177487154408
WBGene00021010,-0.928761221924209,3.4704707360385,28.4405633863523,9.66195602398859e-8,2.63968109936814e-6
WBGene00018996,0.928361509908959,4.94113468819203,43.6583240611997,3.91010447354777e-11,2.51856729325577e-9
WBGene00019949,-0.928194356431303,4.5967184623943,50.1541746900468,1.4212843834611399e-12,1.21586437491402e-10
WBGene00012779,0.927362967991992,0.263212625091166,10.511413589639,0.00118639463559622,0.00962954283184248
WBGene00008347,-0.926521619563274,1.85203182645948,20.7109777672657,5.34089284180614e-6,9.05867047982918e-5
WBGene00175027,0.926170075736314,3.74397526970471,3.32395513488114,0.0682773862345008,0.233695104797382
WBGene00022085,-0.926011349898006,3.84952057114726,35.7372917741368,2.2580009174708202e-9,9.43706490317001e-8
WBGene00000173,-0.925012382620406,-1.22821043896566,6.34315025928835,0.0117835420850326,0.062769889974269
WBGene00020177,-0.924995610122206,2.18773069531898,28.1123425881293,1.14473475855406e-7,3.05727941613829e-6
WBGene00013825,-0.924824303208891,-2.04347115943224,3.51578118759652,0.0607869939175701,0.213969905939756
WBGene00044712,0.924371802407399,1.04317481163036,6.20214753635402,0.0127595405806762,0.0667225259591236
WBGene00007323,-0.924201970015914,3.28722863835159,29.7865891298388,4.82316870718484e-8,1.42894202769681e-6
WBGene00018232,-0.923866381820585,3.83685821395968,34.6631719731831,3.91977313757849e-9,1.54839523291791e-7
WBGene00006804,0.923622975143979,4.9235642458249,23.6493423362544,1.15585405322847e-6,2.34903524180619e-5
WBGene00219705,0.923453082974239,-1.21138270383139,4.5670648929593,0.0325923612138824,0.137285103589788
