"","gene","TF","Hits"
"392","21ur-278","400-AHA-1",2
"393","21ur-278","400-C05D10.1",0
"394","21ur-278","400-CEH-32",0
"395","21ur-278","400-CEH-38",0
"396","21ur-278","400-CES-1",0
"397","21ur-278","400-CEY-2",0
"398","21ur-278","400-DAF-16",7
"399","21ur-278","400-DPL-1",1
"400","21ur-278","400-DUXL-1",0
"401","21ur-278","400-DVE-1",2
"402","21ur-278","400-EGL-27",0
"403","21ur-278","400-F10B5.3",0
"404","21ur-278","400-F37D6.2",0
"405","21ur-278","400-F45C12.2",0
"406","21ur-278","400-F49E8.2",1
"407","21ur-278","400-FKH-10",0
"408","21ur-278","400-FOS-1",0
"409","21ur-278","400-HLH-30",0
"410","21ur-278","400-LIN-13",1
"411","21ur-278","400-LIN-15B",0
"412","21ur-278","400-LIN-39",0
"413","21ur-278","400-LIR-3",1
"414","21ur-278","400-LSY-2",2
"415","21ur-278","400-MDL-1",3
"416","21ur-278","400-MEP-1",2
"417","21ur-278","400-NHR-10",0
"418","21ur-278","400-NHR-102",1
"419","21ur-278","400-NHR-11",0
"420","21ur-278","400-NHR-116",0
"421","21ur-278","400-NHR-237",0
"422","21ur-278","400-NHR-25",0
"423","21ur-278","400-NHR-28",3
"424","21ur-278","400-NHR-48",1
"425","21ur-278","400-NHR-6",0
"426","21ur-278","400-NHR-76",0
"427","21ur-278","400-NHR-77",0
"428","21ur-278","400-PHA-4",0
"429","21ur-278","400-PQM-1",0
"430","21ur-278","400-R02D3.7",0
"431","21ur-278","400-R06F6.6",0
"432","21ur-278","400-RBR-2",1
"433","21ur-278","400-SKN-1",0
"434","21ur-278","400-SNPC-4",1
"435","21ur-278","400-SPR-1",1
"436","21ur-278","400-UNC-130",1
"437","21ur-278","400-UNC-39",0
"438","21ur-278","400-UNC-62",0
"439","21ur-278","400-ZAG-1",0
"440","21ur-278","400-ZFP-2",0
"441","21ur-278","400-ZIP-2",1
"442","21ur-278","400-ZK546.5",0
"443","21ur-278","400-ZTF-11",0
"444","21ur-278","400-ZTF-7",1
"445","21ur-278","Total Instances of TFs binding within 1000",33
"446","21ur-278","Total Instances of TFs binding within 400bp",33
"447","21ur-278","Total number of TFs binding within 1000 bp of peak",29
"448","21ur-278","Total number of TFs bound",29
"449","21ur-5163","1k-43252",0
"450","21ur-5163","1k-AHA-1",2
"451","21ur-5163","1k-C05D10.1",0
"452","21ur-5163","1k-CEH-32",0
"453","21ur-5163","1k-CEH-38",0
"454","21ur-5163","1k-CES-1",0
"455","21ur-5163","1k-CEY-2",0
"456","21ur-5163","1k-DAF-16",7
"457","21ur-5163","1k-DPL-1",1
"458","21ur-5163","1k-DUXL-1",0
"459","21ur-5163","1k-DVE-1",2
"460","21ur-5163","1k-EGL-27",0
"461","21ur-5163","1k-F10B5.3",0
"462","21ur-5163","1k-F37D6.2",0
"463","21ur-5163","1k-F45C12.2",0
