"","logFC","logCPM","LR","PValue","FDR"
"WBGene00196280",2.33311813301784,-3.29007778609603,8.47083467251398,0.00360885798555001,0.0271184428642414
"WBGene00010492",2.33212289851615,4.27905869007281,13.530644489507,0.000234699434923385,0.00316965813074873
"WBGene00005692",-2.33083953798526,-3.52637347050193,5.14771783427437,0.0232769463099766,0.109354111075272
"WBGene00008896",-2.33064671952832,-2.08233352419043,11.8131922251781,0.000588125086517798,0.00666387592856983
"WBGene00009859",-2.32927748730307,-2.46810682934648,4.83111578071694,0.0279505360660331,0.124860627416393
"WBGene00005203",2.32922513690332,-3.28992999297776,14.4457532367109,0.000144254756456469,0.00212882693153414
"WBGene00023417",2.32922011042028,4.63450083248521,221.711814771729,3.82824360780291e-50,1.36101517874811e-47
"WBGene00008462",-2.32778507886426,-0.837270881944866,39.4054922393114,3.44327133063077e-10,1.62236751593834e-08
"WBGene00010808",2.32768585288092,-2.94697880714609,5.80893455308388,0.0159449517064129,0.0833161009664158
"WBGene00010314",-2.3268763165438,0.434302919917127,10.2274656476528,0.00138364650928343,0.0130837040385609
"WBGene00198103",2.32392041660342,-3.4204030876261,4.48626393983596,0.0341682719720102,0.144071997334623
"WBGene00007509",2.32330937378604,2.06822023597912,27.1751867388401,1.85828414223766e-07,5.8337761919445e-06
"WBGene00017404",2.32261645820991,-2.46267239678386,11.6144818008036,0.000654402683748699,0.00724101595295902
"WBGene00235110",-2.32090679269073,-1.64280657545116,20.5459441652979,5.82170082101212e-06,0.000133029265421708
"WBGene00008782",2.31940149871295,-2.73335339538092,19.4103335248155,1.05435025685208e-05,0.000223051300473923
"WBGene00021865",2.31478162041643,0.209097231961689,20.6428197207339,5.53443526855943e-06,0.000127101648889945
"WBGene00009088",2.31346494049073,-3.9448050686305,2.3474371255303,0.125489167299852,0.338611854353753
"WBGene00021478",2.31326113294032,-1.0326563865677,26.2533560438451,2.99434012787292e-07,8.99781130631407e-06
"WBGene00018446",2.31307197526502,1.07002810102819,17.1967629175409,3.37010125162258e-05,0.000610565994461735
"WBGene00044339",-2.3089724445108,4.19787454612843,192.340036552533,9.80771016747059e-44,2.85623474292029e-41
"WBGene00195003",2.30813326482919,-3.37911555596459,9.46990831713391,0.00208869811705133,0.017890522826746
"WBGene00044200",2.3075188829193,2.07618162189308,87.9450289302536,6.72990388131285e-21,7.33988520920077e-19
"WBGene00169629",-2.30750860720613,-3.9389763756443,2.35431781261325,0.124936529186783,0.33755798326966
"WBGene00171576",2.30590515849387,-3.99266519978864,2.21533613849918,0.136645296841839,0.357924122193604
"WBGene00017864",2.30311242494834,8.46593573253743,275.24763375159,8.15173899017464e-62,4.2914202856929e-59
"WBGene00018534",-2.30186054928579,-3.66849598033484,3.32114510167062,0.0683941755798286,0.233353322983605
"WBGene00011724",2.30105780852901,-2.30058028634746,21.3823977775139,3.76209312787268e-06,9.06578339573192e-05
"WBGene00018412",2.2993406356213,-2.5301263075565,24.4761970631903,7.52335625166542e-07,2.07822277890354e-05
"WBGene00017942",2.29932146545747,-3.5645466287596,5.82490832889173,0.0158007918758625,0.0828792254458205
"WBGene00018630",-2.29760219818094,0.0720613738031188,27.1605248356882,1.87243063728809e-07,5.87145345885011e-06
"WBGene00015180",2.29138778412927,-0.711819076105711,20.0451182289616,7.56363668134511e-06,0.000167655509434674
"WBGene00005901",2.29110795854227,-3.48843808229606,4.13511620307145,0.0420021836349624,0.166061492924191
"WBGene00219932",2.28973415496149,-3.49983976338271,5.12680552761272,0.0235590488093787,0.110105359263804
"WBGene00014235",2.28662061825922,-1.49824472242588,41.0913541523576,1.45277555563512e-10,7.27051752020318e-09
"WBGene00016779",2.28611745471623,-3.75290975213559,3.31474912935202,0.0686607995535635,0.233692575877011
"WBGene00195370",2.28160700993059,-3.33840780423875,4.52866896004126,0.033331532742132,0.142281414130027
"WBGene00206482",2.28085985697627,-2.189143150282,16.5570610945992,4.72078761145887e-05,0.000817775415679353
"WBGene00016560",2.27963440142947,-3.56562803012848,5.46298672104937,0.0194234190296049,0.0962382074091283
"WBGene00005676",2.27929657521166,-3.62025677131146,5.46092759834451,0.0194463208101713,0.0963168142171957
"WBGene00255522",2.27892372431715,-3.70281474781282,5.45841144884595,0.0194743435889258,0.0963510131478118
"WBGene00014839",2.27890768151909,-3.83819202710525,5.45690313711601,0.0194911619176048,0.0963977466344455
"WBGene00195687",2.27888611158329,-3.6581869897699,5.45869748911978,0.0194711558086083,0.0963510131478118
"WBGene00013939",-2.27873952420863,-3.23270510188549,6.44156809129386,0.0111480196864506,0.0643019466743751
"WBGene00235134",2.27691629672712,-3.61630366018297,3.95188228882787,0.0468189703585898,0.179764439237771
"WBGene00044797",-2.27490079349774,1.05437567132762,26.3729722735115,2.81451409396655e-07,8.48538803109409e-06
"WBGene00007473",-2.27456326990679,-1.62768945310857,10.3794176176202,0.00127427883039638,0.0122958699267187
